Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Mass
P00452,reviewed,RIR1_ECOLI,Ribonucleoside-diphosphate reductase 1 subunit alpha (EC 1.17.4.1) (Protein B1) (Ribonucleoside-diphosphate reductase 1 R1 subunit) (Ribonucleotide reductase 1),nrdA dnaF b2234 JW2228,Escherichia coli (strain K12),761,85775
P00547,reviewed,KHSE_ECOLI,Homoserine kinase (HK) (HSK) (EC 2.7.1.39),thrB b0003 JW0002,Escherichia coli (strain K12),310,33624
P00561,reviewed,AK1H_ECOLI,Bifunctional aspartokinase/homoserine dehydrogenase 1 (Aspartokinase I/homoserine dehydrogenase I) (AKI-HDI) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)],thrA thrA1 thrA2 b0002 JW0001,Escherichia coli (strain K12),820,89120
P00562,reviewed,AK2H_ECOLI,Bifunctional aspartokinase/homoserine dehydrogenase 2 (Aspartokinase II/homoserine dehydrogenase II) (AKII-HDII) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)],metL metM b3940 JW3911,Escherichia coli (strain K12),810,88888
P00936,reviewed,CYAA_ECOLI,Adenylate cyclase (EC 4.6.1.1) (ATP pyrophosphate-lyase) (Adenylyl cyclase),cyaA cya b3806 JW3778,Escherichia coli (strain K12),848,97586
P00954,reviewed,SYW_ECOLI,Tryptophan--tRNA ligase (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS),trpS b3384 JW3347,Escherichia coli (strain K12),334,37438
P00956,reviewed,SYI_ECOLI,Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS),ileS ilvS b0026 JW0024,Escherichia coli (strain K12),938,104297
P00957,reviewed,SYA_ECOLI,Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Protein lactyltransferase) (EC 6.-.-.-),alaS lovB b2697 JW2667,Escherichia coli (strain K12),876,96032
P00959,reviewed,SYM_ECOLI,Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS),metG b2114 JW2101,Escherichia coli (strain K12),677,76255
P00960,reviewed,SYGA_ECOLI,Glycine--tRNA ligase alpha subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase alpha subunit) (GlyRS),glyQ glyS(A) b3560 JW3531,Escherichia coli (strain K12),303,34774
