Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,/nextflow_runs/work/21/d5c0409d24545d8e1975cfdc0bf9d6/250625_Stitch_S4611_IB_TPP_stauros_treat_T4_rep4_R1.mzML,/nextflow_runs/work/93/926a0a4e2d95ad220653b60c33e0b0/250625_Stitch_S4611_IB_TPP_stauros_treat_T4_rep2_R1.mzML,/nextflow_runs/work/69/f85b93db9e34d2529e73b620d4524e/250625_Stitch_S4610_IB_TPP_stauros_control_T4_rep4_R1.mzML,/nextflow_runs/work/74/e0cf66cc722ed1285cb1cbcfc26fcc/250625_Stitch_S4611_IB_TPP_stauros_treat_T4_rep3_R1.mzML,/nextflow_runs/work/9f/7ceb0175e1c81fada40264a9bd4876/250625_Stitch_S4611_IB_TPP_stauros_treat_T4_rep1_R1.mzML,/nextflow_runs/work/ab/bd0c6ba4de0964352a132f168071a6/250625_Stitch_S4610_IB_TPP_stauros_control_T4_rep1_R1.mzML,/nextflow_runs/work/d4/a2fed89bac78aaf88800451e7e35f5/250625_Stitch_S4610_IB_TPP_stauros_control_T4_rep3_R1.mzML,/nextflow_runs/work/c2/591c476288ded598123ae1dccdf598/250625_Stitch_S4610_IB_TPP_stauros_control_T4_rep2_R1.mzML
A0A0B4J1G0,A0A0B4J1G0,FCG3A_MOUSE,Fcgr4,Low affinity immunoglobulin gamma Fc region receptor III-A,12034.9,17979.6,15117.1,14369.7,20034,19363.7,19452.8,23438.3
A0A0G2JDV3,A0A0G2JDV3,GBP6_MOUSE,Gbp6,Guanylate-binding protein 6,221090,213150,220799,227278,206664,226885,216210,212047
A0A0G2JDV3;A4UUI3,A0A0G2JDV3;A4UUI3,GBP4_MOUSE;GBP6_MOUSE,Gbp4;Gbp6,Guanylate-binding protein 6,141589,143435,157068,149071,158669,151805,123189,172767
A0A0G2JDV3;Q61107;Q91Z40,A0A0G2JDV3;Q61107;Q91Z40,GBP3_MOUSE;GBP6_MOUSE;GBP7_MOUSE,Gbp3;Gbp6;Gbp7,Guanylate-binding protein 6,103328,107490,84864.9,64960.9,76944.4,110953,116573,87196.2
A0A140LIF8,A0A140LIF8,IRGM2_MOUSE,Irgm2,Immunity-related GTPase family M protein 2,41213.1,52479.6,50942.7,51616.3,53680.3,58836.1,58298.6,53402.7
A0A286YEC0,A0A286YEC0,CIROP_MOUSE,Cirop,Ciliated left-right organizer metallopeptidase,,,,,24185.1,19577.7,,24538.7
A0A7N9VSG0,A0A7N9VSG0,AFG2B_MOUSE,Afg2b,ATPase family gene 2 protein homolog B,15462.4,16862.5,15010.6,13525.1,14690.9,18206.5,14494.6,18336.2
A0JNU3,A0JNU3,LPP60_MOUSE,Aspg,60 kDa lysophospholipase,874222,870679,826170,898396,903450,830312,855887,946572
A1IGU4,A1IGU4,ARH37_MOUSE,Arhgef37,Rho guanine nucleotide exchange factor 37,17684.4,22362.1,19372.3,17188.7,18138.2,15638.1,17089.1,19003.6
A1L314,A1L314,MPEG1_MOUSE,Mpeg1,Macrophage-expressed gene 1 protein,18559.5,20390.5,20480.7,18429.5,16225,15802.2,23395.8,15056.9
A1L3P4,A1L3P4,SL9A6_MOUSE,Slc9a6,Sodium/hydrogen exchanger 6,32481.1,34575.7,30398.5,37616.2,38851.9,44338.3,35413.7,36568.5
A2A432,A2A432,CUL4B_MOUSE,Cul4b,Cullin-4B,101583,101798,90380.5,92483.4,78588.4,79761.4,103546,101364
