Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,/nextflow_runs/work/0b/cd9f8e0d84ba1195e591146376f93f/250625_Stitch_S4611_IB_TPP_stauros_treat_T6_rep3_R1.mzML,/nextflow_runs/work/d7/f784ad75390802c2c3b005e80fff55/250625_Stitch_S4610_IB_TPP_stauros_control_T6_rep2_R1.mzML,/nextflow_runs/work/a1/85649604e2b2415d2f64f44be281e9/250625_Stitch_S4610_IB_TPP_stauros_control_T6_rep4_R1.mzML,/nextflow_runs/work/56/7b52e7aeb74109b02169869c2d7ecc/250625_Stitch_S4611_IB_TPP_stauros_treat_T6_rep4_R1.mzML,/nextflow_runs/work/1a/e8750790b3adc3a7a1a37645361f80/250625_Stitch_S4611_IB_TPP_stauros_treat_T6_rep1_R1.mzML,/nextflow_runs/work/3e/0970b23559fe20edc6370815db8ee6/250625_Stitch_S4610_IB_TPP_stauros_control_T6_rep1_R1.mzML,/nextflow_runs/work/20/b9465cbeac6ea65d7bd30af785176a/250625_Stitch_S4611_IB_TPP_stauros_treat_T6_rep2_R1.mzML,/nextflow_runs/work/70/9fc6e04e87ba43745794f5582a1775/250625_Stitch_S4610_IB_TPP_stauros_control_T6_rep3_R1.mzML
A0A0B4J1G0,A0A0B4J1G0,FCG3A_MOUSE,Fcgr4,Low affinity immunoglobulin gamma Fc region receptor III-A,17078,8382.88,21823.6,,8333.47,16180.9,13412.7,13144.5
A0A0G2JDV3,A0A0G2JDV3;A4UUI3,GBP6_MOUSE,Gbp6,Guanylate-binding protein 6,22285.6,22100,29932.3,23109.5,21642.2,14903.9,22303,22474.1
A0A0G2JDV3;Q61107;Q91Z40,A0A0G2JDV3;Q61107;Q91Z40,GBP3_MOUSE;GBP6_MOUSE;GBP7_MOUSE,Gbp3;Gbp6;Gbp7,Guanylate-binding protein 6,1834.16,2003.02,2026.77,,,3866.54,4946.42,
A0A140LIF8,A0A140LIF8,IRGM2_MOUSE,Irgm2,Immunity-related GTPase family M protein 2,7818.35,,6464.1,7013.66,4732.73,,3762.86,5794.12
A0A1W2P884,A0A1W2P884,CE85L_MOUSE,Cep85l,Centrosomal protein of 85 kDa-like,,,,,3025.56,7873.98,15861.3,
A0A5F8MPU3,A0A5F8MPU3,CTSRT_MOUSE,C2cd6,Cation channel sperm-associated targeting subunit tau,17843.3,9452.29,19267.9,18728.6,21711.5,18703.1,7305.17,12378.5
A0JNU3,A0JNU3,LPP60_MOUSE,Aspg,60 kDa lysophospholipase,56696.6,66761.1,58900.4,63309.8,59705.9,65795.8,55582.1,50625.5
A1L317,A1L317,K1C24_MOUSE,Krt24,"Keratin, type I cytoskeletal 24",23173.6,,5152.66,17908.3,14320.4,,26716.6,12864.6
A1L3P4,A1L3P4,SL9A6_MOUSE,Slc9a6,Sodium/hydrogen exchanger 6,25328.7,15869.2,9236.41,18187.6,21818.9,12613,20200,18437.7
A2A5R2,A2A5R2,BIG2_MOUSE,Arfgef2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,14147.8,6484.66,10133.3,18017.6,8667.65,14777.9,3806.57,16019.4
A2A5R2;G3X9K3,A2A5R2;G3X9K3,BIG1_MOUSE;BIG2_MOUSE,Arfgef1;Arfgef2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,16018.4,16051,23078.7,14665.6,8903.75,16395.4,16056.1,14752
A2A6A1,A2A6A1,GPTC8_MOUSE,Gpatch8,G patch domain-containing protein 8,16358.9,11813.7,16048.1,16276.2,13848.1,13246.9,12923.4,13841.8
A2A7S8,A2A7S8,K1522_MOUSE,Kiaa1522,Uncharacterized protein KIAA1522,31879.9,29384.3,31947.8,37055.2,38009.8,37401.3,30685.5,33178
A2A8L5,A2A8L5,PTPRF_MOUSE,Ptprf,Receptor-type tyrosine-protein phosphatase F,15391.5,13168.5,15501.7,17930.2,17168.9,16450.3,12881.8,21645.7
A2A8L5;B0V2N1;Q64487,A2A8L5;B0V2N1;Q64487,PTPRD_MOUSE;PTPRF_MOUSE;PTPRS_MOUSE,Ptprd;Ptprf;Ptprs,Receptor-type tyrosine-protein phosphatase F,14831.5,12964.4,8444.91,9196.87,8710.71,8787.38,9786.31,10053.7
A2A8L5;Q64487,A2A8L5;Q64487,PTPRD_MOUSE;PTPRF_MOUSE,Ptprd;Ptprf,Receptor-type tyrosine-protein phosphatase F,42646.1,28442.4,32703.2,34094.3,36120.2,38168.7,29155.7,43113.9
A2AB59,A2AB59,RHG27_MOUSE,Arhgap27,Rho GTPase-activating protein 27,,,,,4183.96,,1265.96,
A2ADY9,A2ADY9,DDI2_MOUSE,Ddi2,Protein DDI1 homolog 2,259384,233663,249637,341901,339612,317781,320622,303960
A2ADY9;Q9DAF3,A2ADY9;Q9DAF3,DDI1_MOUSE;DDI2_MOUSE,Ddi1;Ddi2,Protein DDI1 homolog 2,27631.1,38780.9,43056.6,27647.5,27977.6,37313.1,46362.4,16900.4
A2AEP0,A2AEP0,OBP1B_MOUSE,Obp1b,Odorant-binding protein 1b,3762.02,4878.69,4195.75,2004.37,3945.08,2509.01,3242.6,3959.81
A2AEV7,A2AEV7,CC120_MOUSE,Ccdc120,Coiled-coil domain-containing protein 120,12292.6,,,12943.6,,,8419.69,4542.56
A2AF53;Q8R3R5,A2AF53;Q8R3R5,T185A_MOUSE;T185B_MOUSE,Tmem185a;Tmem185b,Transmembrane protein 185A,3541.68,,,7994.85,,7771.82,6955.22,
A2AG58,A2AG58,BCLA3_MOUSE,Bclaf3,BCLAF1 and THRAP3 family member 3,,,,,,1973.39,,
A2AHC3,A2AHC3,CAMP1_MOUSE,Camsap1,Calmodulin-regulated spectrin-associated protein 1,4875.36,3878.1,5770.21,6050.88,5852.02,4907.99,2855.32,5543.03
A2AIG8,A2AIG8,1A1L1_MOUSE,Accs,1-aminocyclopropane-1-carboxylate synthase-like protein 1,3571.71,3765.16,3526.17,5034.73,5193.84,2894.55,3671.94,3173.18
