Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,/nextflow_runs/work/fb/464ce517799c0b01138b14fdb1c9dd/250625_Stitch_S4611_IB_TPP_stauros_treat_T7_rep3_R1.mzML,/nextflow_runs/work/49/fff17fe9717f1f92c3b4f3077568c3/250625_Stitch_S4610_IB_TPP_stauros_control_T7_rep2_R1.mzML,/nextflow_runs/work/05/0ef9e12a9f67c211060c7bab5069a9/250625_Stitch_S4611_IB_TPP_stauros_treat_T7_rep4_R1.mzML,/nextflow_runs/work/4a/9432495e41bd8bbe87c9d3638261ab/250625_Stitch_S4610_IB_TPP_stauros_control_T7_rep3_R1.mzML,/nextflow_runs/work/32/cfdc447731b6ae3eeb8a1a59d80f7d/250625_Stitch_S4611_IB_TPP_stauros_treat_T7_rep2_R1.mzML,/nextflow_runs/work/a5/0d03ac2c94125adce7ed102f01d7b0/250625_Stitch_S4611_IB_TPP_stauros_treat_T7_rep1_R1.mzML,/nextflow_runs/work/41/7194089913d508dfafd83cefbf2d44/250625_Stitch_S4610_IB_TPP_stauros_control_T7_rep1_R1.mzML,/nextflow_runs/work/87/7227e97a34af4640a32017e9bedaf0/250625_Stitch_S4610_IB_TPP_stauros_control_T7_rep4_R1.mzML
A0A0B4J1G0,A0A0B4J1G0,FCG3A_MOUSE,Fcgr4,Low affinity immunoglobulin gamma Fc region receptor III-A,6247.92,4713.74,,8399.11,8423.01,5136.56,8173.88,7476.17
A0A0G2JDV3,A0A0G2JDV3;A4UUI3,GBP6_MOUSE,Gbp6,Guanylate-binding protein 6,9840.07,17799.7,8446.38,13549.9,9517.26,11524.4,8385.57,11670.9
A0A140LIF8,A0A140LIF8,IRGM2_MOUSE,Irgm2,Immunity-related GTPase family M protein 2,,3140.22,,,3379.99,3767.71,2719.53,2186.07
A0JNU3,A0JNU3,LPP60_MOUSE,Aspg,60 kDa lysophospholipase,12565,8807.28,8150.91,10617.9,8715.82,8645.44,8132.72,13593.6
A1L317,A1L317,K1C24_MOUSE,Krt24,"Keratin, type I cytoskeletal 24",17799,26522.3,17013.3,40286.8,30167.5,19734.2,10895,
A1L3P4,A1L3P4,SL9A6_MOUSE,Slc9a6,Sodium/hydrogen exchanger 6,12072.6,13220.4,12132.3,6730.09,11981,13847.7,12113.3,12478.4
A2A3V1,A2A3V1,AK17B_MOUSE,Akap17b,A-kinase anchor protein 17B,13189.8,9832.63,6488.35,11561.7,16928.5,,11228.2,6727.37
A2A6A1,A2A6A1,GPTC8_MOUSE,Gpatch8,G patch domain-containing protein 8,10749.6,7475.02,16997.5,13588.9,8472.58,12046,9438.69,11411.1
A2A7S8,A2A7S8,K1522_MOUSE,Kiaa1522,Uncharacterized protein KIAA1522,26914.4,28917.2,33280.2,30331,30100.9,33253,31168.8,31325.1
A2A8L5,A2A8L5,PTPRF_MOUSE,Ptprf,Receptor-type tyrosine-protein phosphatase F,8233.58,6952.43,9610.25,9257.24,8487.37,8270.65,6578.47,8463.41
