Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,Y:\11_Astral_Stitch\250625_Stitch_S4612_IB_PISA_liver_stauros_treat_rep4_R1.raw,Y:\11_Astral_Stitch\250625_Stitch_S4612_IB_PISA_liver_stauros_control_rep4_R1.raw,Y:\11_Astral_Stitch\250625_Stitch_S4612_IB_PISA_liver_stauros_treat_rep3_R1.raw,Y:\11_Astral_Stitch\250625_Stitch_S4612_IB_PISA_liver_stauros_control_rep3_R1.raw,Y:\11_Astral_Stitch\250625_Stitch_S4612_IB_PISA_liver_stauros_treat_rep2_R1.raw,Y:\11_Astral_Stitch\250625_Stitch_S4612_IB_PISA_liver_stauros_control_rep2_R1.raw,Y:\11_Astral_Stitch\250625_Stitch_S4612_IB_PISA_liver_stauros_treat_rep1_R1.raw,Y:\11_Astral_Stitch\250625_Stitch_S4612_IB_PISA_liver_stauros_control_rep1_R1.raw
A0A0B4J1G0,A0A0B4J1G0,FCG3A_MOUSE,Fcgr4,Low affinity immunoglobulin gamma Fc region receptor III-A,40653.4,,42063.2,,,41674,43171.3,43680.7
A0A0G2JDV3,A0A0G2JDV3;A4UUI3,GBP6_MOUSE,Gbp6,Guanylate-binding protein 6,97593.2,88896.1,91320.8,87005.7,73361,90312.8,84589.7,81204
A0A140LIF8,A0A140LIF8,IRGM2_MOUSE,Irgm2,Immunity-related GTPase family M protein 2,14391.1,18348.9,,15041,15281.1,12832.1,11220.5,7581.09
A0A1W2P884,A0A1W2P884,CE85L_MOUSE,Cep85l,Centrosomal protein of 85 kDa-like,,,,1430.1,,,5773.05,17810.4
A0A5F8MPU3,A0A5F8MPU3,CTSRT_MOUSE,C2cd6,Cation channel sperm-associated targeting subunit tau,,,,,,6726.26,9352.73,16562.8
A0JNU3,A0JNU3,LPP60_MOUSE,Aspg,60 kDa lysophospholipase,323570,339054,280323,273028,300072,276113,272183,263696
A1L314,A1L314,MPEG1_MOUSE,Mpeg1,Macrophage-expressed gene 1 protein,,9400.68,,,9134.64,11520.4,14146.6,8844.58
A1L317,A1L317,K1C24_MOUSE,Krt24,"Keratin, type I cytoskeletal 24",65581.8,,51871.3,81540.5,39438.8,,38540.4,
A1L3P4,A1L3P4,SL9A6_MOUSE,Slc9a6,Sodium/hydrogen exchanger 6,41882.8,48083.2,32969.8,51308.6,47500.2,47361.6,56824.1,51203.6
A2A432,A2A432,CUL4B_MOUSE,Cul4b,Cullin-4B,,,,,,,12605,8259.3
A2A4P0,A2A4P0,DHX8_MOUSE,Dhx8,ATP-dependent RNA helicase DHX8,,,,,,,9631.65,7007.35
A2A5R2,A2A5R2,BIG2_MOUSE,Arfgef2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,84930.5,87821.3,73552.9,,77687.8,106891,78015.8,92909.1
A2A699,A2A699,F1712_MOUSE,Fam171a2,Protein FAM171A2,18307,,,20159.3,13398.5,,8795.57,8550.53
A2A6A1,A2A6A1,GPTC8_MOUSE,Gpatch8,G patch domain-containing protein 8,52650.2,63581.7,57855,60963.8,46898.3,56103.5,44509.7,45189.9
A2A7S8,A2A7S8,K1522_MOUSE,Kiaa1522,Uncharacterized protein KIAA1522,116793,131971,131147,123955,122226,107245,97794.2,108667
A2A8L5,A2A8L5;Q64487,PTPRF_MOUSE,Ptprf,Receptor-type tyrosine-protein phosphatase F,153639,157315,159455,145929,145267,139838,127040,132063
A2A9C3,A2A9C3,SZT2_MOUSE,Szt2,KICSTOR complex protein SZT2,1.82E+06,,,2.16E+06,2.19E+06,2.17E+06,2.26E+06,2.75E+06
A2ADY9,A2ADY9,DDI2_MOUSE,Ddi2,Protein DDI1 homolog 2,976106,858328,766645,843595,787631,922839,1.03E+06,958542
A2AEP0,A2AEP0,OBP1B_MOUSE,Obp1b,Odorant-binding protein 1b,13480,6008.89,17144.2,10152.5,9335.71,18059.7,11767.5,18176.7
A2AF53;Q8R3R5,A2AF53;Q8R3R5,T185A_MOUSE;T185B_MOUSE,Tmem185a;Tmem185b,Transmembrane protein 185A,41259.9,53252.3,73663.6,49115.2,37545.4,,16236.9,21726.7
A2AGT5,A2AGT5,CKAP5_MOUSE,Ckap5,Cytoskeleton-associated protein 5,15250.8,15840,17221.8,11201.1,6554.47,14565.7,5365.63,8512.54
A2AHC3,A2AHC3,CAMP1_MOUSE,Camsap1,Calmodulin-regulated spectrin-associated protein 1,19064.7,17981.7,19777.6,16900.7,15745.7,17700.9,14752,12395.4
A2AIG8,A2AIG8,1A1L1_MOUSE,Accs,1-aminocyclopropane-1-carboxylate synthase-like protein 1,23310.1,19316.7,,19201.9,,35480.7,21846.9,17611.4
A2AJ15,A2AJ15,MA1B1_MOUSE,Man1b1,"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",,187397,32575.8,,9337.09,,14845.4,11486.6
A2AJ88,A2AJ88,PLPL7_MOUSE,Pnpla7,Patatin-like phospholipase domain-containing protein 7,25849.4,17661.6,,10035.8,14325.8,10146,14869.8,11220.5
A2AJB2,A2AJB2,TM141_MOUSE,Tmem141,Transmembrane protein 141,35578.3,41573.2,41533.8,42806,41401.7,42770.6,32978.4,28506.9
A2AJI0,A2AJI0,MA7D1_MOUSE,Map7d1,MAP7 domain-containing protein 1,51397.6,51138.1,66735.5,60596.9,57421.3,60199.3,35945.2,34624.3
A2AJL3,A2AJL3,FGGY_MOUSE,Fggy,FGGY carbohydrate kinase domain-containing protein,1.42E+06,1.41E+06,1.28E+06,1.08E+06,1.39E+06,1.27E+06,2.61E+06,2.26E+06
A2AJT4,A2AJT4,PNISR_MOUSE,Pnisr,Arginine/serine-rich protein PNISR,17526.3,29850.3,20552.6,24236.6,16941,12643.5,12642.2,12924.2
A2AKB9,A2AKB9,DCA10_MOUSE,Dcaf10,DDB1- and CUL4-associated factor 10,17128.5,,11747.9,16537.5,9509.77,,6065.2,7112.95
A2AKK5,A2AKK5,ACNT1_MOUSE,Acnat1,Acyl-coenzyme A amino acid N-acyltransferase 1,3020.51,,2615.5,,,,32605,61766.2
A2AKQ0,A2AKQ0,S35D1_MOUSE,Slc35d1,Nucleotide sugar transporter SLC35D1,23917.8,11641.9,10054.6,17418.6,15003.1,18933.2,58525.8,77069.7
A2ALU4,A2ALU4,SHRM2_MOUSE,Shroom2,Protein Shroom2,65286.8,57880,49770,62515.6,64462.1,68674.7,59506.7,62177.5
A2AMZ4,A2AMZ4,NDUF8_MOUSE,Ndufaf8,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8,22480.6,11845.1,16597.1,26752.5,16958.9,22665.7,15055,17318
A2AN08,A2AN08,UBR4_MOUSE,Ubr4,E3 ubiquitin-protein ligase UBR4,25881,22857.3,,17328.9,17898.3,17652.7,13107.2,11212
A2APT9,A2APT9,KLD7A_MOUSE,Klhdc7a,Kelch domain-containing protein 7A,75573.3,69069.7,83649,64577.1,61667.8,65766,51429,37559.5
A2APV2,A2APV2,FMNL2_MOUSE,Fmnl2,Formin-like protein 2,14851.3,18148.1,,13169,16883.7,15506.6,60843.4,130887
A2APY7,A2APY7,NDUF5_MOUSE,Ndufaf5,"Arginine-hydroxylase NDUFAF5, mitochondrial",,,,,2326.93,,3393.7,2146.63
A2AQ19,A2AQ19,RTF1_MOUSE,Rtf1,RNA polymerase-associated protein RTF1 homolog,138453,137786,162704,138654,148479,175800,100410,109904
A2AQ25,A2AQ25,SKT_MOUSE,Skt,Sickle tail protein,72191.1,74252.1,75431.9,65517.6,69724.5,69611.9,58001.2,48912.3
A2AR02,A2AR02,PPIG_MOUSE,Ppig,Peptidyl-prolyl cis-trans isomerase G,10174,19467.8,17453.6,13354.1,6057.32,20038.6,11768.5,7981.74
A2ARA8,A2ARA8,ITA8_MOUSE,Itga8,Integrin alpha-8,48180.9,32885.1,37094.2,45576.6,26451,31732.3,28175.2,30433.4
A2ARI4,A2ARI4,LGR4_MOUSE,Lgr4,Leucine-rich repeat-containing G-protein coupled receptor 4,,11406.3,,,,,4979.59,3311.31
A2ARZ3,A2ARZ3,FSIP2_MOUSE,Fsip2,Fibrous sheath-interacting protein 2,301441,456644,465727,278118,318123,356714,224158,257587
A2AS89,A2AS89,GDAH_MOUSE,Agmat,"Guanidino acid hydrolase, mitochondrial",1.35E+06,2.00E+06,1.69E+06,1.96E+06,1.27E+06,1.82E+06,1.05E+06,1.61E+06
A2ASQ1,A2ASQ1,AGRIN_MOUSE,Agrn,Agrin,21051.3,11922.7,,19543.3,29253.9,27955.3,18820.8,25765
A2ASS6,A2ASS6,TITIN_MOUSE,Ttn,Titin,95722.3,121438,136984,79378.2,93840.2,102729,85740,95303
A2ASZ8,A2ASZ8,SCMC2_MOUSE,Slc25a25,Mitochondrial adenyl nucleotide antiporter SLC25A25,150680,134545,129480,151043,139121,148115,182609,181630
A2ATU0,A2ATU0,DHTK1_MOUSE,Dhtkd1,2-oxoadipate dehydrogenase complex component E1,124945,146425,84512.2,118263,116353,101402,137367,151219
A2AVZ9,A2AVZ9,S43A3_MOUSE,Slc43a3,Equilibrative nucleobase transporter 1,,,,,,34990.1,16644.5,15186.6
A2AWA9,A2AWA9,RBGP1_MOUSE,Rabgap1,Rab GTPase-activating protein 1,42988.9,46622.6,36611.5,39277.3,38747.7,50636.9,42951.2,41823.7
A2AWL7,A2AWL7,MGAP_MOUSE,Mga,MAX gene-associated protein,,,,8325.2,8413.63,,5894.12,4045.45
A2AWP8,A2AWP8,ARGAL_MOUSE,Arhgef10l,Rho guanine nucleotide exchange factor 10-like protein,,,,,,,6681.64,7628.39
A2AWR3,A2AWR3,LYCHS_MOUSE,Gpr155,Lysosomal cholesterol signaling protein,57197.9,45128.1,56966.8,59321.8,44748.5,40515.1,27715.5,29518.2
A2BDX3,A2BDX3,MOCS3_MOUSE,Mocs3,Adenylyltransferase and sulfurtransferase MOCS3,32907,,24443.3,24563.4,34724.3,33028,20495.3,23990.7
A2BH40,A2BH40,ARI1A_MOUSE,Arid1a,AT-rich interactive domain-containing protein 1A,23821.2,24838.6,19954.5,22073.9,18967.2,22381.9,19473.3,24491.3
A2BIM8;P02762;P04938,P02762;P04938;B5X0G2;A2BIM8,MUP11_MOUSE;MUP18_MOUSE;MUP6_MOUSE,Mup11;Mup18;Mup6,Major urinary protein 18,,,,,,,8880.96,9260.89
A2CG49,A2CG49,KALRN_MOUSE,Kalrn,Kalirin,26046.2,26349.5,12400.8,,25351.1,30538.3,14792.5,19884.7
A2RSJ4,A2RSJ4,BLT3B_MOUSE,Bltp3b,Bridge-like lipid transfer protein family member 3B,64063.1,59319.4,58380.8,53895.1,55782.2,60210.5,59516,56292.7
A2RSY6,A2RSY6,TRM1L_MOUSE,Trmt1l,TRMT1-like protein,16461.3,,,,10894.5,26536.3,14500.4,14051.8
A2RTL5,A2RTL5,RSRC2_MOUSE,Rsrc2,Arginine/serine-rich coiled-coil protein 2,25083.6,45351.3,22099.8,29764,36856.1,40741.4,29072.8,30939.4
A3KGB4,A3KGB4,TBC8B_MOUSE,Tbc1d8b,TBC1 domain family member 8B,33613.9,,,25115.1,22497.7,49793.8,19794.4,22298.2
A3KGF9,A3KGF9,CCD9B_MOUSE,Ccdc9b,Coiled-coil domain-containing protein 9B,,,5344.89,,,,8878.92,9104.82
A3KGV1,A3KGV1,ODFP2_MOUSE,Odf2,Outer dense fiber protein 2,,,,,,,5368.24,13219.4
A3KMN5,A3KMN5,LARGN_MOUSE,Prr16,Protein Largen,35954.5,27532,33020,35731.6,37379.9,37348.6,23345.9,30743.7
A3KMP2,A3KMP2,TTC38_MOUSE,Ttc38,Tetratricopeptide repeat protein 38,1.15E+06,1.09E+06,1.00E+06,980880,1.07E+06,969853,1.18E+06,1.24E+06
A6H5X4,A6H5X4,PHF11_MOUSE,Phf11,PHD finger protein 11,14892.4,7973.91,16937.3,13351,8698.4,19500.5,14507.2,17013.7
A6H5Y3,A6H5Y3,METH_MOUSE,Mtr,Methionine synthase,23079.8,20786.8,17261.2,20641.2,17972.7,,17029.9,15037.4
A6H611,A6H611,MIPEP_MOUSE,Mipep,Mitochondrial intermediate peptidase,14892.6,17733.6,19139.1,10928.4,13053.1,11065.5,17807.4,20090.6
A6H630,A6H630,ARMT1_MOUSE,Armt1,Damage-control phosphatase ARMT1,,,,,,,8275.57,9495.57
A6H6A9,A6H6A9,RBG1L_MOUSE,Rabgap1l,Rab GTPase-activating protein 1-like,18576.8,18648.9,17025.3,17740.1,20383.3,18326,17644.6,18792.2
A6H6E2,A6H6E2,MMRN2_MOUSE,Mmrn2,Multimerin-2,25101.6,,31448.8,,25899.3,19778.4,14357.2,15603.6
A6H8H2,A6H8H2,DEN4C_MOUSE,Dennd4c,DENN domain-containing protein 4C,23239.2,23378.2,21167,24242.3,21696.3,17433.1,20213,19852.5
A6X8Z5,A6X8Z5,RHG31_MOUSE,Arhgap31,Rho GTPase-activating protein 31,18855.5,25258.6,31213,28774.4,23816.7,27132.1,20659.6,19766.2
A6X919,A6X919,D19L1_MOUSE,Dpy19l1,Probable C-mannosyltransferase DPY19L1,26043.3,30650.9,21251.7,21058.6,18513,22314.9,19242.4,22086.3
A6X935,A6X935,ITIH4_MOUSE,Itih4,"Inter alpha-trypsin inhibitor, heavy chain 4",453742,461650,446508,473733,474644,454043,464613,438474
A7MCT6,A7MCT6,EKI2_MOUSE,Etnk2,Ethanolamine kinase 2,,14103.1,,,,35747.3,37912.1,34252.9
A9JSM3,A9JSM3,TM238_MOUSE,Tmem238,Transmembrane protein 238,54235,51070.2,54624.1,63235.8,60966.3,49785,51188.7,44514.2
B1AQJ2,B1AQJ2,UBP36_MOUSE,Usp36,Ubiquitin carboxyl-terminal hydrolase 36,,17142.6,11605.3,16739.8,9236.4,13156.5,9044.99,14937.8
B1AR13,B1AR13,CISD3_MOUSE,Cisd3,"CDGSH iron-sulfur domain-containing protein 3, mitochondrial",265059,332088,323703,287943,276079,273177,284281,312834
B1ARW8,B1ARW8,CA122_MOUSE,,Uncharacterized protein C1orf122 homolog,69187.1,101655,103380,88709,77567.2,103854,61978.6,92130.8
B1AUE5,B1AUE5,PEX10_MOUSE,Pex10,Peroxisome biogenesis factor 10,50754.1,31840.1,40193.1,40449.3,37868.7,38775.6,33031.9,42264.3
B1AVY7,B1AVY7,KI16B_MOUSE,Kif16b,Kinesin-like protein KIF16B,154645,226036,,186069,188672,160073,218259,165194
B1AVZ0,B1AVZ0,UPP_MOUSE,Uprt,Uracil phosphoribosyltransferase homolog,5645.46,10597.9,,8615.56,7763.14,6300.74,8287.09,8572.45
B1AWN6,B1AWN6,SCN2A_MOUSE,Scn2a,Sodium channel protein type 2 subunit alpha,,7549.07,,,,,2433.23,2558.5
B1AXP6,B1AXP6,TOM5_MOUSE,Tomm5,Mitochondrial import receptor subunit TOM5 homolog,69135,52190.3,36359,70200.7,67254.3,74557.4,112852,151868
B1AY10,B1AY10,NFX1_MOUSE,Nfx1,Transcriptional repressor NF-X1,19714.7,13316.2,8258.9,19961.7,18836.8,22220.1,17295.4,18502.3
B1AY13,B1AY13,UBP24_MOUSE,Usp24,Ubiquitin carboxyl-terminal hydrolase 24,10241.3,11785.5,,6596.6,,10168.1,7587.03,6606.33
B1AZA5,B1AZA5,TM245_MOUSE,Tmem245,Transmembrane protein 245,137766,144331,141607,132872,127216,133967,108623,113349
B1AZI6,B1AZI6,THOC2_MOUSE,Thoc2,THO complex subunit 2,364790,314485,309313,335709,314262,370739,364360,376724
B1AZP2,B1AZP2,DLGP4_MOUSE,Dlgap4,Disks large-associated protein 4,35402.5,35105.8,43984.4,48412.9,41981.4,32347.6,40699.6,40776.3
B2KF05,B2KF05,BRPF3_MOUSE,Brpf3,Bromodomain and PHD finger-containing protein 3,22806.9,40202.5,,29499.4,24411,24564,19794.8,16768.2
B2RQA1,B2RQA1,KCA10_MOUSE,Kcna10,Potassium voltage-gated channel subfamily A member 10,,,,1.47E+06,,2.07E+06,,
B2RQC6,B2RQC6,PYR1_MOUSE,Cad,CAD protein,35385.5,26529.7,19127.5,22679.3,19836.6,16099.1,18345.7,22477.7
B2RQE8,B2RQE8,RHG42_MOUSE,Arhgap42,Rho GTPase-activating protein 42,32250.5,,38992.4,29159.6,33278.1,48642.3,28021.1,20844.9
B2RRE7,B2RRE7,OTUD4_MOUSE,Otud4,OTU domain-containing protein 4,31538.4,26669.9,31116.4,27207.3,26501.6,29874.1,35492.2,42118.9
B2RU80,B2RU80,PTPRB_MOUSE,Ptprb,Receptor-type tyrosine-protein phosphatase beta,13957.2,,19406.9,26226.5,,20647.8,13222.1,10085.7
B2RUR8,B2RUR8;Q8R554,OTU7B_MOUSE,Otud7b,OTU domain-containing protein 7B,,37809.1,,55588.7,,,31398.8,
B2RVL6,B2RVL6,ZCH24_MOUSE,Zcchc24,Zinc finger CCHC domain-containing protein 24,33541.8,40184.4,37941,26771.6,35263.9,24289.7,29510.5,36887.9
B2RX12,B2RX12,MRP3_MOUSE,Abcc3,ATP-binding cassette sub-family C member 3,223171,279676,327513,233322,213617,249795,210225,214310
B2RX14,B2RX14,TUT4_MOUSE,Tut4,Terminal uridylyltransferase 4,22980.8,21758.5,18546.9,19266.9,15045.1,17469.3,18405.7,18153
B2RXS4,B2RXS4,PLXB2_MOUSE,Plxnb2,Plexin-B2,113758,113146,116485,124251,111697,109265,102580,121208
B2RY04,B2RY04,DOCK5_MOUSE,Dock5,Dedicator of cytokinesis protein 5,,10063.7,15439,,7195.3,,6303.43,5753.31
B2RY56,B2RY56,RBM25_MOUSE,Rbm25,RNA-binding protein 25,48000.3,41489.7,36937.4,29608.5,41083.2,38452.4,51465.3,46036.2
