"","Protein.Group","Protein.Ids","Protein.Names","Genes","First.Protein.Description","peptide.length","start","intensity_0nM_R1","intensity_0nM_R2","intensity_0nM_R3","intensity_0nM_R4","intensity_02nM_R1","intensity_02nM_R2","intensity_02nM_R3","intensity_02nM_R4","intensity_2nM_R1","intensity_2nM_R2","intensity_2nM_R3","intensity_2nM_R4","intensity_2uM_R1","intensity_2uM_R2","intensity_2uM_R3","intensity_2uM_R4","intensity_20nM_R1","intensity_20nM_R2","intensity_20nM_R3","intensity_20nM_R4","intensity_20uM_R1","intensity_20uM_R2","intensity_20uM_R3","intensity_20uM_R4","intensity_100uM_R1","intensity_100uM_R2","intensity_100uM_R3","intensity_100uM_R4","intensity_200nM_R1","intensity_200nM_R2","intensity_200nM_R3","intensity_200nM_R4","quantified.in.rep1.?","quantified.in.rep2.?","quantified.in.rep3.?","quantified.in.rep4.?","Nr.of.replicates.(quantified)","stabilized.in.rep1.?","stabilized.in.rep2.?","stabilized.in.rep3.?","stabilized.in.rep4.?","Nr.of.replicates.(stabilized)","destabilized.in.rep1.?","destabilized.in.rep2.?","destabilized.in.rep3.?","destabilized.in.rep4.?","Nr.of.replicates.(destabilized)","regulation","pEC50_rep1","R2_rep1","lower_rep1","upper_rep1","Ratio_0nM_0nM_R1","Ratio_02nM_0nM_R1","Ratio_2nM_0nM_R1","Ratio_20nM_0nM_R1","Ratio_200nM_0nM_R1","Ratio_2uM_0nM_R1","Ratio_20uM_0nM_R1","Ratio_100uM_0nM_R1","pEC50_rep2","R2_rep2","lower_rep2","upper_rep2","Ratio_0nM_0nM_R2","Ratio_02nM_0nM_R2","Ratio_2nM_0nM_R2","Ratio_20nM_0nM_R2","Ratio_200nM_0nM_R2","Ratio_2uM_0nM_R2","Ratio_20uM_0nM_R2","Ratio_100uM_0nM_R2","pEC50_rep3","R2_rep3","lower_rep3","upper_rep3","Ratio_0nM_0nM_R3","Ratio_02nM_0nM_R3","Ratio_2nM_0nM_R3","Ratio_20nM_0nM_R3","Ratio_200nM_0nM_R3","Ratio_2uM_0nM_R3","Ratio_20uM_0nM_R3","Ratio_100uM_0nM_R3","pEC50_rep4","R2_rep4","lower_rep4","upper_rep4","Ratio_0nM_0nM_R4","Ratio_02nM_0nM_R4","Ratio_2nM_0nM_R4","Ratio_20nM_0nM_R4","Ratio_200nM_0nM_R4","Ratio_2uM_0nM_R4","Ratio_20uM_0nM_R4","Ratio_100uM_0nM_R4","CV_pEC50","mean_pEC50","is.kinase","end","Protein.kinase","domain","location","D_start","D_end","D_start2","D_end2","in.domain"
"1","P28482","P28482","MK01_HUMAN","MAPK1","Mitogen-activated protein kinase 1",14,2,1495021,1663344,1664612,1627751,1411217,1656409,1572632,1658520,1505017,1608151,1761838,1654891,1376737,1419135,1462078,1669645,1423744,1571529,1589470,1642567,1075889,1050536,1176527,1274673,909480,916553,1026462,1063946,1323807,1286620,1657532,1602567,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",4.4666,0.9408,0.407741919979482,0.971935094107533,1,0.943944600109296,1.00668619370564,0.952323746622957,0.885477193965837,0.920881378923774,0.719648085210843,0.608339280852911,4.6367,0.9224,0.272698302956136,1.00548020077525,1,0.995830688059716,0.966818048461413,0.944800955184255,0.773514077665233,0.853181903442703,0.63158071932204,0.55103033407401,5.1459,0.9488,0.577034860238489,0.994427075458605,1,0.944743880255579,1.05840760489532,0.954859150360564,0.995746756601538,0.878329604736719,0.706787527664104,0.616637390575101,4.7776,0.9917,0.652158205285961,1.00924259051196,1,1.0189027682981,1.01667331182718,1.00910212925687,0.984528346165968,1.02573735172026,0.783088445345756,0.65362945561084,0.0607453074491406,4.7567,"yes",15,"Protein kinase","domain","25-313;",25,313,NA,NA,"near"
"2","Q15418","Q15418","KS6A1_HUMAN","RPS6KA1","Ribosomal protein S6 kinase alpha-1",10,57,2670000,2660000,2870000,2870000,2790000,2110000,1950000,2890000,2360000,2850000,3e+06,2950000,860378,736593,871642,890490,1310000,2660000,2670000,2810000,787284,784544,829596,878652,698888,759665,799423,667348,1450000,1390000,1460000,1530000,1,1,1,1,4,1,1,0,1,"3",0,0,0,0,"0","stabilized",7.9861,0.9461,0.30226275932599,1.04994011386604,1,1.04494382022472,0.883895131086142,0.49063670411985,0.543071161048689,0.322238951310861,0.294862921348315,0.261755805243446,6.7608,0.9493,0.285807336061423,0.966176729100929,1,0.793233082706767,1.07142857142857,1,0.522556390977444,0.276914661654135,0.294941353383459,0.285588345864662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8768,0.9959,0.278153207023784,1.01362512052982,1,1.00696864111498,1.02787456445993,0.979094076655052,0.533101045296167,0.310275261324042,0.306150522648084,0.23252543554007,0.0938459374560984,7.2079,"yes",66,"Protein kinase","domain","62-321;418-675;",62,321,418,675,"yes"
"3","P51812","Q15349;P51812","KS6A3_HUMAN","RPS6KA3","Ribosomal protein S6 kinase alpha-3",10,63,2040000,1980000,1880000,1730000,1910000,1980000,1840000,1890000,2030000,2040000,2270000,2090000,860499,895212,715253,843897,1980000,2060000,1750000,2070000,868806,825988,686511,818486,710749,769221,646002,737590,1310000,1490000,1260000,1350000,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",6.7785,0.9897,0.394540853346097,0.980099672757903,1,0.936274509803922,0.995098039215686,0.970588235294118,0.642156862745098,0.421813235294118,0.425885294117647,0.34840637254902,6.6208,0.9952,0.411047263426673,1.02012761952835,1,1,1.03030303030303,1.04040404040404,0.752525252525252,0.452127272727273,0.417165656565657,0.388495454545455,6.8051,0.954,0.3465392968122,1.05299979899956,1,0.978723404255319,1.20744680851064,0.930851063829787,0.670212765957447,0.380453723404255,0.365165425531915,0.343618085106383,6.7065,0.9608,0.46241657883052,1.12428066353181,1,1.09248554913295,1.20809248554913,1.19653179190751,0.780346820809249,0.487801734104046,0.473113294797688,0.426352601156069,0.0122716034247588,6.727725,"yes",72,"Protein kinase","domain","68-327;422-679;",68,327,422,679,"yes"
"4","Q13546","Q13546","RIPK1_HUMAN","RIPK1","Receptor-interacting serine/threonine-protein kinase 1",10,106,376632,381057,351125.7,330096.7,389487.8,322700.4,359693.4,350631.7,327609.4,373145.9,314044.4,333125.6,317494.5,290931.3,325239,311768.1,329635.1,330421.2,350489.8,320899.8,320706.5,199210.9,199158.9,165075.7,153584.1,151781,144325.5,126333.2,296376.3,355708.1,356480.1,283856.5,1,1,1,1,4,0,1,1,1,"3",0,0,0,0,"0","stabilized",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.162,0.9434,0.342755724355541,0.931091051171569,1,0.846855982175895,0.979239063972057,0.86711751785166,0.933477406267304,0.763484990434502,0.52278504265766,0.398315737540578,4.9655,0.9706,0.382347711303083,0.986401748023682,1,1.02440066335218,0.894393090565572,0.998188967654603,1.01524923980216,0.926275120277439,0.567201147623202,0.411036560411272,5.0362,0.9512,0.371232210086554,0.981976987384991,1,1.06220904359238,1.00917579606218,0.972138770245204,0.859919229728743,0.94447505836926,0.500082854508997,0.382715731481108,0.019690947811527,5.05456666666667,"yes",115,"Protein kinase","domain","17-289;",17,289,NA,NA,"yes"
"5","Q13188","Q13188;Q13043","STK3_HUMAN","STK3","Serine/threonine-protein kinase 3",13,149,1488379,1522746,1518018,1412374,1568808,1483611,1495638,1394986,1434768,1468393,1335807,1379410,70955.4,68823.5,84327,59229.8,574882,637407,541703,534043,53144.7,58265.9,50473.5,56384.8,59849.3,60561.3,68043.3,58397.1,81558.4,82604.4,64053.9,67510.7,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",7.8828,0.9989,0.0400224330984039,1.02668414928935,1,1.05403798360498,0.963980276529029,0.386247051322277,0.0547967957086199,0.0476729381427714,0.0357064296123501,0.0402110618330412,7.8013,0.9998,0.0415089135054693,0.987980002716992,1,0.974299719060172,0.964305931521081,0.418590493752734,0.0542469985145257,0.0451969665328295,0.038263702547897,0.0397711108746961,7.9578,0.9993,0.0373603838675169,0.994440006074121,1,0.985257091813141,0.879967826468461,0.356848864769719,0.0421957447144896,0.0555507246949641,0.0332496057359004,0.0448237767931606,7.8314,0.9999,0.0413695018133529,0.994152483894573,1,0.987688813302992,0.976660572907743,0.378117269221892,0.0477994497208247,0.0419363426401222,0.0399220036619196,0.0413467679240768,0.0087040469113202,7.868325,"yes",161,"Protein kinase","domain","27-278;",27,278,NA,NA,"yes"
"6","O96013","O96013","PAK4_HUMAN","PAK4","Serine/threonine-protein kinase PAK 4",12,575,1113747,1076765,974710,1009518,1199705,1067988,1027833,1021947,1121834,898881,987516,1015742,546634,449123,420142,493200,1128786,945921,1017943,1006079,345857.7,302580.4,266406.3,291323.6,322688,287824,236406.6,262338.5,712196,665305,582004,601472,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",6.6034,0.9791,0.296448291294904,1.04794884167644,1,1.07717910800209,1.00726107455284,1.01350306667493,0.639459410440612,0.49080626030867,0.310535247232989,0.289731869086965,6.5732,0.9806,0.219091170996907,0.981886193161069,1,0.991848732081745,0.83479775066983,0.8784841632111,0.617873909348837,0.417104010624417,0.281008762357618,0.267304379321393,6.7397,0.9781,0.285207513771087,1.0418355764555,1,1.05450133885976,1.01313826676653,1.0443547311508,0.597104779883247,0.43104307948005,0.273318525510152,0.242540447928102,6.6078,0.9742,0.271388918228614,1.02786148102376,1,1.01231181613404,1.00616531849853,0.996593423792345,0.595801164516135,0.488549981278194,0.288576924829473,0.259865103940693,0.0111693476132312,6.631025,"yes",586,"Protein kinase","domain","321-572;",321,572,NA,NA,"near"
"7","Q15418","Q15418","KS6A1_HUMAN","RPS6KA1","Ribosomal protein S6 kinase alpha-1",15,52,365002,365885,340210,407471,381532,398230,332370,357466,401814,451868,653636,371018,229102,209960,151410,164762,440369,422663,379903,392387,236592,189394,164478,179726,156332,154652,146128,171179,331054,341783,334078,370137,1,1,1,1,4,1,1,0,1,"3",0,0,0,0,"0","stabilized",6.3485,0.9014,0.537031104944557,1.08657660707957,1,1.04528742308261,1.10085424189457,1.20648380008877,0.906992290453203,0.627673273023162,0.648193708527624,0.428304502441083,6.3248,0.9489,0.466559672667425,1.12150426798575,1,1.08840209355399,1.23500006832748,1.1551799062547,0.934126843133772,0.573841507577518,0.517632589474835,0.422679257143638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4216,0.9807,0.421735792703302,0.937736240324858,1,0.877279610082681,0.910538418685011,0.96298141462828,0.908376301626373,0.404352702400907,0.441076788286774,0.420101062406895,0.00792732250987201,6.36496666666667,"yes",66,"Protein kinase","domain","62-321;418-675;",62,321,418,675,"yes"
"8","O14976","O14976","GAK_HUMAN","GAK","Cyclin-G-associated kinase",11,81,169060,164432,177638,192409,173440,167341,195271,176716,160027,171589,144339,162187,28393,30632.4,35109.9,21205.2,176841,179447,168025,159496,13101.9,9599.44,14207.3,15187.4,10512,14775.1,15715.5,15112.5,114654,113107,104919,87323.8,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",6.4843,0.9942,0.0739920459215444,1.0085596701837,1,1.02590796167041,0.94656926534958,1.04602507985331,0.678185259671123,0.167946291257542,0.0774985212350645,0.0621791080089909,6.4998,0.9936,0.0826741940833324,1.04185717395793,1,1.01769120365866,1.04352559112581,1.09131434270702,0.68786489247835,0.186292205896662,0.0583793908728228,0.0898553809477474,6.5639,0.9672,0.0738915855111607,0.984609887287276,1,1.09926367106137,0.812545739087357,0.945884326551751,0.590633760794425,0.197648588702868,0.0799789459462502,0.0884692464450174,6.8064,0.9902,0.0652850972596875,0.927903091944717,1,0.918439366141916,0.842928345347671,0.828942513084107,0.453844674625407,0.110208981908331,0.078932898149255,0.0785436232192881,0.0226500811203933,6.5886,"yes",91,"Protein kinase","domain","40-314;",40,314,NA,NA,"yes"
"9","P31751","P31751","AKT2_HUMAN","AKT2","RAC-beta serine/threonine-protein kinase",12,145,240521.6,271172.3,228116.6,236980.7,254730.7,222162.6,205637.7,205073.3,246195.6,227606.3,234807.8,232444.7,151252.8,187928.4,131381.6,190225.5,239507.1,226464.7,208694.7,195744.5,39110.2,104676.9,54200.42,74979.4,73193.99,52502.3,64735.3,51251.1,236549.1,225674.9,208288.9,237480,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",5.6961,0.9849,0.233450386833176,1.01239112988123,1,1.05907619107806,1.0235903968708,0.995782083604965,0.983483811848915,0.628853292178332,0.162605770126259,0.304313583478573,4.9584,0.9595,0.0522718341102908,0.878790593069721,1,0.819267307169648,0.839341997689292,0.835132128170908,0.832219588800184,0.693022111771741,0.386016197082077,0.193612326922772,5.7582,0.9805,0.251853127545573,0.958155861514952,1,0.901458727685754,1.02933236774527,0.914859769083004,0.91308085426488,0.575940549701337,0.237599631065867,0.283781627465954,5.2318,0.958,0.208028155373529,0.934812199939993,1,0.865358655789269,0.980859200770358,0.825993424781005,1.00210692263125,0.802704608434358,0.316394541833997,0.216266978703329,0.0706772698070916,5.411125,"yes",156,"Protein kinase","domain","152-409;",152,409,NA,NA,"yes"
"10","O14976","O14976","GAK_HUMAN","GAK","Cyclin-G-associated kinase",10,294,421600.3,438582.8,383208.3,425380.5,426178.2,363489.7,434245.8,362194.4,372245.8,380570.9,351934.8,332164.5,123645.7,99618.1,92905.7,86057.42,367649.2,349075.1,360702.9,342582.4,92398.41,98475.9,77941.7,62425.6,87911.7,79269,64895.8,79655.04,222030.9,233867.7,192865.1,160152.1,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",6.8609,0.9913,0.203053127504797,0.983731875554014,1,1.01085838885788,0.882935329979604,0.872032586314573,0.526638382373068,0.293277068351232,0.219161158092155,0.208519064146776,6.7798,0.9778,0.183063877707949,0.905388734502516,1,0.828782387271001,0.867728739020317,0.795916073316145,0.533235001463806,0.22713635828856,0.224532060992816,0.180738961947436,6.8951,0.9798,0.185370737361889,1.02852584484966,1,1.1331847457375,0.918390337578805,0.941271105036086,0.503290508060499,0.242441773834231,0.203392515245625,0.169348628409145,7.0192,0.9707,0.169811137848797,0.886020442596455,1,0.851459810687138,0.780864426084412,0.805355205516003,0.376491400052424,0.202306922860827,0.146752378164961,0.187255974357076,0.0144444474711048,6.88875,"yes",303,"Protein kinase","domain","40-314;",40,314,NA,NA,"yes"
