Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,/nextflow_runs/work/7d/08d2783d1084814af8165d1e2d97c1/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep2_R1.mzML,/nextflow_runs/work/28/9bec088bcb7fb3843db5f7c46e0085/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep4_R1.mzML,/nextflow_runs/work/0d/46a1e273674bf39ac22939255c5c1b/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep3_R1.mzML,/nextflow_runs/work/51/3e8009125250b1475b98133587a8a2/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep3_R1.mzML,/nextflow_runs/work/bc/68df10861519f9d6dc989ed6e132e5/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep1_R1.mzML,/nextflow_runs/work/c9/ab0965fec1300baecf563186c1a3bd/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep1_R1.mzML,/nextflow_runs/work/e5/8aeba0633abd65fc9dc44170acd0ec/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep2_R1.mzML,/nextflow_runs/work/7d/d93e795d31ba4e43bd910b97384596/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep4_R1.mzML
A0A0B4J1G0,A0A0B4J1G0,FCG3A_MOUSE,Fcgr4,Low affinity immunoglobulin gamma Fc region receptor III-A,33048.7,,39722.6,33558.9,35602.3,22932.3,29397.3,31428.7
A0A0G2JDV3,A0A0G2JDV3;A4UUI3,GBP6_MOUSE,Gbp6,Guanylate-binding protein 6,78502,92396.1,81295.4,89513,89712.2,77081.7,83237.1,89354.6
A0A0G2JDV3;Q61107;Q91Z40,A0A0G2JDV3;Q61107;Q91Z40,GBP3_MOUSE;GBP6_MOUSE;GBP7_MOUSE,Gbp3;Gbp6;Gbp7,Guanylate-binding protein 6,14616,25817.8,27529.5,20792,20500.1,24149.6,21789.8,15786
A0A140LIF8,A0A140LIF8,IRGM2_MOUSE,Irgm2,Immunity-related GTPase family M protein 2,20590.8,18607.3,16106.1,18982.2,14898.5,15128.6,18619.5,16044.9
A0A1W2P872;Q9JKN6,A0A1W2P872;Q9JKN6,NOVA1_MOUSE;NOVA2_MOUSE,Nova1;Nova2,RNA-binding protein Nova-2,1492.56,,1981.91,,,2406.91,2463.35,2000
A0A1W2P884,A0A1W2P884,CE85L_MOUSE,Cep85l,Centrosomal protein of 85 kDa-like,,17377.4,18808.7,17257.7,9089.79,,,20236.9
A0A5F8MPU3,A0A5F8MPU3,CTSRT_MOUSE,C2cd6,Cation channel sperm-associated targeting subunit tau,3416.74,12849,20314.5,21197.5,18906.6,23387.9,24965.1,15845
A0JNU3,A0JNU3,LPP60_MOUSE,Aspg,60 kDa lysophospholipase,334527,309295,298753,325434,317007,334927,305193,298961
A1L314,A1L314,MPEG1_MOUSE,Mpeg1,Macrophage-expressed gene 1 protein,6798.24,,12675.4,,10265.5,7383.12,7516.73,9738.32
A1L3P4,A1L3P4,SL9A6_MOUSE,Slc9a6,Sodium/hydrogen exchanger 6,22213.7,23259.7,30033.8,29338.2,25178.3,24728.9,27750.6,27590.8
